AF_L,0
AF_R,0
C_FPH_L,0
C_FPH_R,7
C_FP_L,61
C_FP_R,23
C_PH_L,0
C_PHP_L,0
C_PHP_R,15
C_PH_R,64
C_R_L,0
C_R_R,180
EMC_L,124
EMC_R,32
FAT_L,0
FAT_R,1
IFOF_L,145
IFOF_R,29
ILF_L,44
ILF_R,643
MdLF_L,0
MdLF_R,0
PAT_L,0
PAT_R,0
SLF1_L,30
SLF1_R,0
SLF2_L,0
SLF2_R,5
SLF3_L,0
SLF3_R,0
UF_L,300
UF_R,711
VOF_L,0
VOF_R,0
CB_L,0
CB_R,0
ICP_L,0
ICP_R,6
MCP,8
SCP,0
V,0
AR_L,0
AR_R,0
CBT_L,52
CBT_R,15
CPT_F_L,36
CPT_F_R,36
CPT_O_L,16
CPT_O_R,0
CPT_P_L,54
CPT_P_R,23
CS_A_L,18
CS_A_R,25
CS_P_L,4
CS_P_R,0
CS_S_L,0
CS_S_R,30
CST_L,88
CST_R,18
DRTT_L,0
DRTT_R,11
F_L,519
F_R,1047
ML_L,0
ML_R,0
OR_L,0
OR_R,43
RST_L,1
RST_R,10
TR_A_L,12
TR_A_R,3
TR_P_L,0
TR_P_R,0
TR_S_L,0
TR_S_R,7
AC,1434
CC,873
